Orientation Trunk AP,Orientation Thigh AP,Orientation Shank AP,Orientation Trunk ML,Orientation Thigh ML,Orientation Shank ML,Angle Hip,Angle Knee,Angle Ankle,Hyperextend Hip,Hyperextend Knee,Ang Velocity Knee,Ang Velocity Hip,Ang Velocity Ankle,STS Phase,Horiz Disp,Verti Disp,Horiz Vel,Verti Vel,Trunk Jerk - Ang,Thigh Jerk - Ang,Shank Jerk - Ang,Tri Osc,,
-8.18069,-74.02319,20.44568,7.51602,60.00000,5.34004,65.84249,53.57751,0.00000,0.00000,0.00000,0.00037,0.03561,0.01896,0.00000,0.32856,0.60966,0.00780,0.01613,0.09136,0.23128,0.18990,0.45000,,
-8.19510,-73.99680,20.44827,7.51345,60.00000,5.33964,65.80170,53.54852,0.00000,0.00000,0.00000,0.02898,0.04079,0.00259,0.00000,0.32855,0.60984,0.00139,0.01748,0.17989,0.08250,0.09863,0.44000,,
-8.21540,-73.98580,20.45591,7.51514,60.00000,5.36065,65.77041,53.52989,0.00000,0.00000,0.00000,0.01863,0.03129,0.00764,0.00000,0.32852,0.60989,0.00277,0.00459,0.16530,0.08144,0.27574,0.43000,,
-8.23272,-73.97106,20.47192,7.51560,60.00000,5.39478,65.73834,53.49915,0.00000,0.00000,0.00000,0.03074,0.03207,0.01600,0.00000,0.32853,0.60994,0.00028,0.00579,0.15972,0.75774,0.15666,0.42000,,
-8.23678,-73.96492,20.47248,7.51904,60.00000,5.40419,65.72814,53.49245,0.00000,0.00000,0.00000,0.00670,0.01020,0.00056,0.00000,0.32852,0.60998,0.00052,0.00401,0.13104,0.29328,0.27202,0.41000,,
-8.21602,-73.95567,20.47720,7.52084,60.00000,5.43615,65.73965,53.47847,0.00000,0.00000,0.00000,0.01398,0.01151,0.00473,0.00000,0.32859,0.61006,0.00725,0.00764,0.26595,0.91581,0.43199,0.40000,,
-8.17859,-73.94830,20.47860,7.52612,60.00000,5.47675,65.76970,53.46970,0.00000,0.00000,0.00000,0.00877,0.03004,0.00140,0.00000,0.32870,0.61014,0.01072,0.00850,0.27341,0.10220,0.11770,0.39000,,
-8.13155,-73.94339,20.47446,7.53304,60.00000,5.50935,65.81184,53.46893,0.00000,0.00000,0.00000,0.00077,0.04214,0.00414,0.00000,0.32882,0.61023,0.01176,0.00873,0.32762,0.64181,0.22262,0.38000,,
-8.08828,-73.94750,20.46109,7.53804,60.00000,5.53037,65.85922,53.48641,0.00000,0.00000,0.00000,0.01749,0.04739,0.01337,0.00000,0.32890,0.61027,0.00792,0.00373,0.22512,0.52161,0.20018,0.37000,,
-8.04269,-73.94787,20.45306,7.54267,60.00000,5.52629,65.90518,53.49481,0.00000,0.00000,0.00000,0.00840,0.04596,0.00803,0.00000,0.32900,0.61032,0.01008,0.00552,0.12630,0.11246,0.06731,0.36000,,
