Orientation Trunk AP,Orientation Thigh AP,Orientation Shank AP,Orientation Trunk ML,Angle Hip,Angle Knee,Ang Velocity Knee,Ang Velocity Hip,STS Phase,Placeholder,,
22.10,-90.00,0.00,0.00,67.90,90.00,0.49,0.00,1.00,0.00,,
23.80,-90.00,0.00,0.00,66.20,90.00,0.49,0.00,1.00,0.00,,
23.80,-90.00,0.00,0.00,66.20,90.00,0.51,0.00,1.00,0.00,,
23.80,-90.00,0.00,0.00,66.20,90.00,0.52,0.00,1.00,0.00,,
25.50,-90.00,0.00,0.00,64.50,90.00,0.52,0.00,1.00,0.00,,
25.50,-90.00,0.00,0.00,64.50,90.00,0.54,0.00,1.00,0.00,,
25.50,-90.00,0.00,0.00,64.50,90.00,0.55,0.00,1.00,0.00,,
25.50,-90.00,0.00,0.00,64.50,90.00,0.51,0.00,1.00,0.00,,
27.20,-90.00,0.00,0.00,62.80,90.00,0.48,0.00,1.00,0.00,,
27.20,-90.00,0.00,0.00,62.80,90.00,0.49,0.00,1.00,0.00,,
27.20,-90.00,0.00,0.00,62.80,90.00,0.49,0.00,1.00,0.00,,
28.90,-90.00,0.00,0.00,61.10,90.00,0.48,0.00,1.00,0.00,,
28.90,-90.00,0.00,0.00,61.10,90.00,0.51,0.00,1.00,0.00,,
28.90,-90.00,0.00,0.00,61.10,90.00,0.52,0.00,1.00,0.00,,
28.90,-90.00,0.00,0.00,61.10,90.00,0.49,0.00,1.00,0.00,,
30.60,-90.00,0.00,0.00,59.40,90.00,0.46,0.00,1.00,0.00,,
30.60,-90.00,0.00,0.00,59.40,90.00,0.47,0.00,1.00,0.00,,
30.60,-90.00,0.00,0.00,59.40,90.00,0.48,0.00,1.00,0.00,,
32.30,-90.00,0.00,0.00,57.70,90.00,0.48,0.00,1.00,0.00,,
32.30,-90.00,0.00,0.00,57.70,90.00,0.51,0.00,1.00,0.00,,
32.30,-90.00,0.00,0.00,57.70,90.00,0.52,0.00,1.00,0.00,,
34.00,-90.00,0.00,0.00,56.00,90.00,0.52,0.00,1.00,0.00,,
34.00,-90.00,0.00,0.00,56.00,90.00,0.55,0.00,1.00,0.00,,
34.00,-90.00,0.00,0.00,56.00,90.00,0.55,0.00,1.00,0.00,,
34.00,-90.00,0.00,0.00,56.00,90.00,0.51,0.00,1.00,0.00,,
35.70,-90.00,0.00,0.00,54.30,90.00,0.48,0.00,1.00,0.00,,
35.70,-90.00,0.00,0.00,54.30,90.00,0.49,0.00,1.00,0.00,,
35.70,-90.00,0.00,0.00,54.30,90.00,0.49,0.00,1.00,0.00,,
37.40,-90.00,0.00,0.00,52.60,90.00,0.49,0.00,1.00,0.00,,
37.40,-90.00,0.00,0.00,52.60,90.00,0.51,0.00,1.00,0.00,,
37.40,-90.00,0.00,0.00,52.60,90.00,0.52,0.00,1.00,0.00,,
39.10,-90.00,0.00,0.00,50.90,90.00,0.52,0.00,1.00,0.00,,
39.10,-90.00,0.00,0.00,50.90,90.00,0.55,0.00,1.00,0.00,,
39.10,-90.00,0.00,0.00,50.90,90.00,0.55,0.00,1.00,0.00,,
39.10,-90.00,0.00,0.00,50.90,90.00,0.51,0.00,1.00,0.00,,
40.80,-90.00,0.00,0.00,49.20,90.00,0.48,0.00,1.00,0.00,,
40.80,-90.00,0.00,0.00,49.20,90.00,0.49,0.00,1.00,0.00,,
40.80,-90.00,0.00,0.00,49.20,90.00,0.49,0.00,1.00,0.00,,
42.50,-90.00,0.00,0.00,47.50,90.00,0.48,0.00,1.00,0.00,,
42.50,-90.00,0.00,0.00,47.50,90.00,0.51,0.00,1.00,0.00,,
42.50,-90.00,0.00,0.00,47.50,90.00,0.52,0.00,1.00,0.00,,
42.50,-90.00,0.00,0.00,47.50,90.00,0.49,0.00,1.00,0.00,,
44.20,-90.00,0.00,0.00,45.80,90.00,0.46,0.00,1.00,0.00,,
44.20,-90.00,0.00,0.00,45.80,90.00,0.47,0.00,1.00,0.00,,
44.20,-90.00,0.00,0.00,45.80,90.00,0.48,0.00,1.00,0.00,,
45.90,-90.00,0.00,0.00,44.10,90.00,0.48,0.00,1.00,0.00,,
45.90,-90.00,0.00,0.00,44.10,90.00,0.51,0.00,1.00,0.00,,
45.90,-90.00,0.00,0.00,44.10,90.00,0.52,0.00,1.00,0.00,,
47.60,-90.00,0.00,0.00,42.40,90.00,0.52,0.00,1.00,0.00,,
47.60,-90.00,0.00,0.00,42.40,90.00,0.55,0.00,1.00,0.00,,
47.60,-90.00,0.00,0.00,42.40,90.00,0.55,0.00,1.00,0.00,,
47.60,-90.00,0.00,0.00,42.40,90.00,0.51,0.00,1.00,0.00,,
47.60,-90.00,0.00,0.00,42.40,90.00,0.45,0.00,1.00,0.00,,
47.60,-90.00,0.00,0.00,42.40,90.00,0.37,0.00,1.00,0.00,,
47.60,-90.00,0.00,0.00,42.40,90.00,0.29,0.00,1.00,0.00,,
47.60,-90.00,0.00,0.00,42.40,90.00,0.22,0.00,1.00,0.00,,
47.60,-90.00,0.00,0.00,42.40,90.00,0.15,0.00,1.00,0.00,,
47.60,-90.00,0.00,0.00,42.40,90.00,0.10,0.00,1.00,0.00,,
47.60,-90.00,0.00,0.00,42.40,90.00,0.06,0.00,1.00,0.00,,
47.60,-90.00,0.00,0.00,42.40,90.00,0.02,0.00,1.00,0.00,,
47.60,-90.00,0.00,0.00,42.40,90.00,0.00,0.00,1.00,0.00,,
47.60,-90.00,0.00,0.00,42.40,90.00,0.01,0.00,1.00,0.00,,
47.60,-90.00,0.00,0.00,42.40,90.00,0.02,0.00,1.00,0.00,,
47.60,-90.00,0.00,0.00,42.40,90.00,0.02,0.00,1.00,0.00,,
47.60,-90.00,0.00,0.00,42.40,90.00,0.02,0.00,1.00,0.00,,
47.60,-90.00,0.00,0.00,42.40,90.00,0.02,0.00,1.00,0.00,,
47.60,-90.00,0.00,0.00,42.40,90.00,0.02,0.00,1.00,0.00,,
47.60,-90.00,0.00,0.00,42.40,90.00,0.02,0.00,1.00,0.00,,
47.60,-90.00,0.00,0.00,42.40,90.00,0.01,0.00,1.00,0.00,,
47.60,-90.00,0.00,0.00,42.40,90.00,0.01,0.00,1.00,0.00,,
47.60,-90.00,0.00,0.00,42.40,90.00,0.01,0.00,1.00,0.00,,
47.60,-90.00,0.00,0.00,42.40,90.00,0.00,0.00,1.00,0.00,,
47.60,-90.00,0.00,0.00,42.40,90.00,0.00,0.00,1.00,0.00,,
47.60,-90.00,0.00,0.00,42.40,90.00,0.00,0.00,1.00,0.00,,
47.60,-90.00,0.00,0.00,42.40,90.00,0.00,0.00,1.00,0.00,,
47.60,-90.00,0.00,0.00,42.40,90.00,0.00,0.00,1.00,0.00,,
47.60,-90.00,0.00,0.00,42.40,90.00,0.00,0.00,1.00,0.00,,
47.60,-90.00,0.00,0.00,42.40,90.00,0.00,0.00,1.00,0.00,,
47.60,-90.00,0.00,0.00,42.40,90.00,0.00,0.00,1.00,0.00,,
47.60,-87.70,0.00,0.00,44.70,92.30,0.05,0.05,1.00,0.00,,
47.60,-87.70,0.00,0.00,44.70,92.30,0.16,0.16,1.00,0.00,,
47.60,-87.70,0.00,0.00,44.70,92.30,0.27,0.27,1.00,0.00,,
45.90,-85.40,0.00,0.00,48.70,94.60,0.40,0.37,1.00,0.00,,
45.90,-85.40,0.00,0.00,48.70,94.60,0.61,0.49,1.00,0.00,,
45.90,-85.40,0.00,0.00,48.70,94.60,0.77,0.57,1.00,0.00,,
44.20,-83.10,0.00,0.00,48.70,94.60,0.82,0.58,1.00,0.00,,
44.20,-83.10,0.00,0.00,52.70,96.90,0.86,0.59,2.00,0.00,,
44.20,-83.10,0.00,0.00,52.70,96.90,0.98,0.63,2.00,0.00,,
44.20,-83.10,0.00,0.00,52.70,96.90,1.06,0.66,2.00,0.00,,
42.50,-80.80,0.00,0.00,56.70,99.20,1.10,0.67,2.00,0.00,,
42.50,-80.80,0.00,0.00,56.70,99.20,1.20,0.72,2.00,0.00,,
42.50,-80.80,0.00,0.00,56.70,99.20,1.25,0.73,2.00,0.00,,
40.80,-78.50,0.00,0.00,60.70,101.50,1.26,0.73,2.00,0.00,,
40.80,-78.50,0.00,0.00,60.70,101.50,1.33,0.76,2.00,0.00,,
40.80,-78.50,0.00,0.00,60.70,101.50,1.34,0.77,2.00,0.00,,
39.10,-76.20,0.00,0.00,64.70,103.80,1.33,0.76,2.00,0.00,,
39.10,-76.20,0.00,0.00,64.70,103.80,1.37,0.78,2.00,0.00,,
39.10,-76.20,0.00,0.00,64.70,103.80,1.37,0.78,2.00,0.00,,
39.10,-76.20,0.00,0.00,64.70,103.80,1.26,0.72,2.00,0.00,,
37.40,-73.90,0.00,0.00,68.70,106.10,1.16,0.66,2.00,0.00,,
37.40,-73.90,0.00,0.00,68.70,106.10,1.17,0.67,2.00,0.00,,
37.40,-73.90,0.00,0.00,68.70,106.10,1.16,0.67,2.00,0.00,,
35.70,-71.60,0.00,0.00,72.70,108.40,1.15,0.66,2.00,0.00,,
35.70,-71.60,0.00,0.00,72.70,108.40,1.20,0.69,2.00,0.00,,
35.70,-71.60,0.00,0.00,72.70,108.40,1.22,0.70,2.00,0.00,,
34.00,-69.30,0.00,0.00,76.70,110.70,1.22,0.70,2.00,0.00,,
34.00,-69.30,0.00,0.00,76.70,110.70,1.28,0.73,2.00,0.00,,
34.00,-69.30,0.00,0.00,76.70,110.70,1.29,0.74,2.00,0.00,,
34.00,-69.30,0.00,0.00,76.70,110.70,1.20,0.69,2.00,0.00,,
32.30,-67.00,0.00,0.00,80.70,113.00,1.12,0.65,2.00,0.00,,
32.30,-67.00,0.00,0.00,80.70,113.00,1.15,0.66,2.00,0.00,,
32.30,-67.00,0.00,0.00,80.70,113.00,1.15,0.66,2.00,0.00,,
30.60,-64.70,0.00,0.00,84.70,115.30,1.14,0.65,2.00,0.00,,
30.60,-64.70,0.00,0.00,84.70,115.30,1.20,0.69,2.00,0.00,,
30.60,-64.70,0.00,0.00,84.70,115.30,1.22,0.70,2.00,0.00,,
28.90,-62.40,0.00,0.00,88.70,117.60,1.22,0.70,2.00,0.00,,
28.90,-62.40,0.00,0.00,88.70,117.60,1.28,0.74,2.00,0.00,,
28.90,-62.40,0.00,0.00,88.70,117.60,1.30,0.75,2.00,0.00,,
28.90,-62.40,0.00,0.00,88.70,117.60,1.20,0.69,2.00,0.00,,
27.20,-60.10,0.00,0.00,92.70,119.90,1.13,0.65,2.00,0.00,,
27.20,-60.10,0.00,0.00,92.70,119.90,1.15,0.66,2.00,0.00,,
27.20,-60.10,0.00,0.00,92.70,119.90,1.15,0.66,2.00,0.00,,
25.50,-57.80,0.00,0.00,96.70,122.20,1.14,0.66,2.00,0.00,,
25.50,-57.80,0.00,0.00,96.70,122.20,1.20,0.69,2.00,0.00,,
25.50,-57.80,0.00,0.00,96.70,122.20,1.23,0.70,2.00,0.00,,
23.80,-55.50,0.00,0.00,100.70,124.50,1.22,0.70,2.00,0.00,,
23.80,-55.50,0.00,0.00,100.70,124.50,1.28,0.74,2.00,0.00,,
23.80,-55.50,0.00,0.00,100.70,124.50,1.30,0.75,2.00,0.00,,
23.80,-55.50,0.00,0.00,100.70,124.50,1.20,0.69,2.00,0.00,,
22.10,-53.20,0.00,0.00,104.70,126.80,1.13,0.65,2.00,0.00,,
22.10,-53.20,0.00,0.00,104.70,126.80,1.15,0.66,2.00,0.00,,
22.10,-53.20,0.00,0.00,104.70,126.80,1.15,0.66,2.00,0.00,,
20.40,-50.90,0.00,0.00,108.70,129.10,1.14,0.66,2.00,0.00,,
20.40,-50.90,0.00,0.00,108.70,129.10,1.20,0.69,2.00,0.00,,
20.40,-50.90,0.00,0.00,108.70,129.10,1.22,0.70,2.00,0.00,,
18.70,-48.60,0.00,0.00,108.70,129.10,1.14,0.66,2.00,0.00,,
18.70,-48.60,0.00,0.00,112.70,131.40,1.08,0.62,2.00,0.00,,
18.70,-48.60,0.00,0.00,112.70,131.40,1.11,0.64,2.00,0.00,,
18.70,-48.60,0.00,0.00,112.70,131.40,1.12,0.65,2.00,0.00,,
17.00,-46.30,0.00,0.00,116.70,133.70,1.12,0.64,2.00,0.00,,
