Orientation Trunk AP,Orientation Thigh AP,Orientation Shank AP,Orientation Trunk ML,Orientation Thigh ML,Orientation Shank ML,Angle Hip,Angle Knee,Angle Ankle,Hyperextend Hip,Hyperextend Knee,Ang Velocity Knee,Ang Velocity Hip,Ang Velocity Ankle,STS Phase,Horiz Disp,Verti Disp,Horiz Vel,Verti Vel,Trunk Jerk - Ang,Thigh Jerk - Ang,Shank Jerk - Ang,Tri Osc,,
-7.83724,-72.90909,22.16181,7.39119,60.00000,3.79443,65.07185,50.74728,0.00000,0.00000,0.00000,0.03586,0.00270,0.03612,0.00000,0.33436,0.61429,0.00780,0.00879,1.99378,0.10837,0.05197,0.23000,,
-7.87538,-72.90751,22.19850,7.38478,60.00000,3.79867,65.03213,50.70901,0.00000,0.00000,0.00000,0.03828,0.03973,0.03669,0.00000,0.33435,0.61418,0.00123,0.01066,0.76283,0.10187,0.05061,0.24000,,
-7.89247,-72.90794,22.21527,7.38610,60.00000,3.80053,65.01548,50.69268,0.00000,0.00000,0.00000,0.01633,0.01665,0.01677,0.00000,0.33434,0.61413,0.00055,0.00569,0.91312,0.09555,0.37050,0.25000,,
-7.89945,-72.90635,22.21591,7.39064,60.00000,3.77521,65.00690,50.69044,0.00000,0.00000,0.00000,0.00224,0.00858,0.00064,0.00000,0.33433,0.61413,0.00158,0.00041,0.59782,0.08941,0.42440,0.26000,,
-7.87349,-72.90678,22.21288,7.42432,60.00000,3.72953,65.03329,50.69389,0.00000,0.00000,0.00000,0.00346,0.02639,0.00303,0.00000,0.33439,0.61416,0.00611,0.00265,0.70279,0.08346,0.42021,0.27000,,
-7.83977,-72.90529,22.21288,7.46014,60.00000,3.68147,65.06552,50.69241,0.00000,0.00000,0.00000,0.00148,0.03223,0.00001,0.00000,0.33448,0.61420,0.00902,0.00402,0.56714,0.07771,0.35799,0.28000,,
-7.80423,-72.90572,22.22588,7.49333,60.00000,3.63815,65.10149,50.67984,0.00000,0.00000,0.00000,0.01257,0.03596,0.01300,0.00000,0.33460,0.61419,0.01245,0.00024,1.09752,0.07217,0.17336,0.29000,,
-7.75957,-72.90430,22.25396,7.50118,60.00000,3.60280,65.14473,50.65035,0.00000,0.00000,0.00000,0.02949,0.04324,0.02808,0.00000,0.33479,0.61418,0.01858,0.00164,1.39122,0.06683,0.30364,0.30000,,
-7.70181,-72.90471,22.28067,7.48778,60.00000,3.56933,65.20290,50.62404,0.00000,0.00000,0.00000,0.02631,0.05817,0.02671,0.00000,0.33501,0.61416,0.02159,0.00156,0.57120,0.06170,0.26468,0.31000,,
-7.65260,-72.90337,22.30678,7.49233,60.00000,3.53511,65.25077,50.59659,0.00000,0.00000,0.00000,0.02745,0.04787,0.02611,0.00000,0.33520,0.61415,0.01931,0.00092,0.41629,0.05678,0.23965,0.32000,,
-7.59436,-72.90373,22.32217,7.48993,60.00000,3.49514,65.30938,50.58156,0.00000,0.00000,0.00000,0.01503,0.05861,0.01539,0.00000,0.33539,0.61416,0.01903,0.00107,0.78534,0.05208,0.21618,0.33000,,
-7.54110,-72.90259,22.33370,7.49766,60.00000,3.45337,65.36149,50.56889,0.00000,0.00000,0.00000,0.01267,0.05211,0.01153,0.00000,0.33556,0.61419,0.01690,0.00260,0.23538,0.04758,0.82799,0.34000,,
-7.48452,-72.90285,22.34404,7.49653,60.00000,3.41439,65.41833,50.55881,0.00000,0.00000,0.00000,0.01008,0.05684,0.01034,0.00000,0.33573,0.61421,0.01740,0.00211,0.22187,0.04330,0.99190,0.35000,,
-7.43016,-72.90190,22.34421,7.49920,60.00000,3.37944,65.47173,50.55769,0.00000,0.00000,0.00000,0.00111,0.05341,0.00017,0.00000,0.33588,0.61426,0.01448,0.00513,3.17827,0.03923,0.32958,0.36000,,
-7.38590,-72.90204,22.34288,7.47463,60.00000,3.34615,65.51614,50.55915,0.00000,0.00000,0.00000,0.00146,0.04440,0.00133,0.00000,0.33599,0.61430,0.01138,0.00384,2.86923,0.03536,0.27955,0.37000,,
